,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[162],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[163],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[164],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[165],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[166],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[167],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[168],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[169],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[170],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[171],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[172],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[173],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[174],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[175],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[176],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[177],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[178],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[179],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[180],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[181],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[182],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[183],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[184],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[185],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[186],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[187],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[188],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[189],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[190],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[191],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[192],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[193],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[194],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[195],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[196],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[197],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[198],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[199],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[200],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[201],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[202],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[203],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[204],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[205],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[206],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[207],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[208],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[209],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[210],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[211],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[212],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[213],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[214],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[215],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[216],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[217],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[218],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[219],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[220],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[221],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[222],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[223],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[224],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[225],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[226],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[227],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[228],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[229],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[230],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[231],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[232],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[233],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[234],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[235],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[236],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[237],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[238],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[239],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[240],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[241],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[242],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[243],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[244],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[245],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[246],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[247],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[248],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[249],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[250],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[251],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[252],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[253],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[254],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[255],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[256],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[257],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[258],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[259],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[260],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[261],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[262],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[263],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[264],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[265],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[266],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[267],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[268],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[269],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[270],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[271],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[272],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[273],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[274],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[275],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[276],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[277],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[278],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[279],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[280],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[281],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[282],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[283],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[284],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[285],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[286],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[287],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[288],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[289],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[290],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[291],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[292],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[293],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[294],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[295],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[296],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[297],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[298],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[299],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[300],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[301],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[302],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[303],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[304],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[305],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[306],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[307],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[308],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[309],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[310],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[311],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[312],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[313],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[314],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[315],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[316],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[317],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[318],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[319],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[320],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[321],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[322],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[323],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[324],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[325],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[326],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[327],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[328],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[329],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[330],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[331],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[332],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
